transaction_id,timestamp,department_id,vendor_id,vendor_category,amount,payment_method,description,approver_id,budget_code,project_id
NTX-00000,2025-02-22T14:24:08,DEPT-RAIL,VEN-017,Civil Works,217833.02,RTGS,Consultancy charges for PROJ-001,OFFICER-09,BUD-1538,PROJ-001
NTX-00001,2025-03-01T11:54:56,DEPT-RAIL,VEN-055,Civil Works,193132.44,NEFT,Consultancy charges for PROJ-001,OFFICER-00,BUD-4040,PROJ-001
NTX-00002,2025-07-19T11:36:07,DEPT-RAIL,VEN-017,Civil Works,26543.06,NEFT,Maintenance support for DEPT-RAIL,OFFICER-00,BUD-7169,PROJ-001
NTX-00003,2025-06-19T17:52:48,DEPT-RAIL,VEN-017,Civil Works,5422.72,UPI,Milestone payment for Civil Works,OFFICER-07,BUD-1488,PROJ-001
NTX-00004,2025-11-01T13:51:51,DEPT-RAIL,VEN-017,Civil Works,18489.11,NEFT,Consultancy charges for PROJ-001,OFFICER-04,BUD-7227,PROJ-001
NTX-00005,2025-07-23T10:45:55,DEPT-RAIL,VEN-017,Civil Works,478102.0,RTGS,Quarterly supply refill for Ayushman Bharat,OFFICER-02,BUD-4524,PROJ-001
NTX-00006,2025-03-17T17:28:16,DEPT-RAIL,VEN-017,Civil Works,48799.66,UPI,Procurement for Ayushman Bharat - Phase 4,OFFICER-00,BUD-2435,PROJ-001
NTX-00007,2025-12-02T14:02:02,DEPT-EDU-DELHI,VEN-016,IT Hardware,432518.14,UPI,Procurement for Swachh Bharat - Phase 4,OFFICER-02,BUD-2971,PROJ-002
NTX-00008,2025-06-20T12:03:47,DEPT-EDU-DELHI,VEN-016,IT Hardware,315298.94,NEFT,Milestone payment for IT Hardware,OFFICER-07,BUD-8027,PROJ-002
NTX-00009,2025-08-01T15:47:54,DEPT-EDU-DELHI,VEN-016,IT Hardware,310800.53,NEFT,Milestone payment for IT Hardware,OFFICER-01,BUD-9668,PROJ-002
NTX-00010,2025-09-03T13:24:44,DEPT-EDU-DELHI,VEN-016,IT Hardware,9386.75,UPI,Consultancy charges for PROJ-002,OFFICER-08,BUD-3595,PROJ-002
NTX-00011,2025-10-01T15:42:32,DEPT-EDU-DELHI,VEN-016,IT Hardware,296281.23,NEFT,Milestone payment for IT Hardware,OFFICER-09,BUD-1928,PROJ-002
NTX-00012,2025-12-30T11:46:56,DEPT-EDU-DELHI,VEN-016,IT Hardware,17077.47,NEFT,Quarterly supply refill for Swachh Bharat,OFFICER-09,BUD-6455,PROJ-002
NTX-00013,2025-06-28T11:59:05,DEPT-EDU-DELHI,VEN-016,IT Hardware,494001.3,NEFT,Procurement for Smart City Mission - Phase 2,OFFICER-01,BUD-4086,PROJ-002
NTX-00014,2025-01-29T12:06:40,DEPT-EDU-DELHI,VEN-077,IT Hardware,38446.87,NEFT,Maintenance support for DEPT-EDU-DELHI,OFFICER-00,BUD-6017,PROJ-002
NTX-00015,2025-06-04T10:42:11,DEPT-CPWD,VEN-018,Consultancy,235647.66,RTGS,Maintenance support for DEPT-CPWD,OFFICER-01,BUD-1577,PROJ-003
NTX-00016,2025-12-16T17:32:03,DEPT-CPWD,VEN-018,Consultancy,475389.29,UPI,Consultancy charges for PROJ-003,OFFICER-00,BUD-2397,PROJ-003
NTX-00017,2025-08-30T10:30:05,DEPT-CPWD,VEN-018,Consultancy,95884.15,NEFT,Quarterly supply refill for PMGSY,OFFICER-06,BUD-4249,PROJ-003
NTX-00018,2025-02-10T17:37:01,DEPT-CPWD,VEN-018,Consultancy,1036720.64,RTGS,Consultancy charges for PROJ-003,OFFICER-01,BUD-3660,PROJ-003
NTX-00019,2025-10-17T10:20:12,DEPT-CPWD,VEN-018,Consultancy,673107.2,UPI,Procurement for Ayushman Bharat - Phase 4,OFFICER-09,BUD-2565,PROJ-003
NTX-00020,2025-03-24T15:00:26,DEPT-CPWD,VEN-018,Consultancy,474397.81,RTGS,Milestone payment for Consultancy,OFFICER-08,BUD-6971,PROJ-003
NTX-00021,2025-12-31T14:42:50,DEPT-CPWD,VEN-018,Consultancy,48370.77,UPI,Maintenance support for DEPT-CPWD,OFFICER-02,BUD-6396,PROJ-003
NTX-00022,2025-01-10T14:08:48,DEPT-CPWD,VEN-018,Consultancy,335077.91,NEFT,Procurement for PMGSY - Phase 1,OFFICER-04,BUD-4911,PROJ-003
NTX-00023,2025-09-25T16:45:52,DEPT-CPWD,VEN-018,Consultancy,184042.83,NEFT,Maintenance support for DEPT-CPWD,OFFICER-05,BUD-6523,PROJ-003
NTX-00024,2025-01-13T11:23:04,DEPT-CPWD,VEN-020,Consultancy,423620.89,NEFT,Quarterly supply refill for Ayushman Bharat,OFFICER-03,BUD-3098,PROJ-003
NTX-00025,2025-03-03T16:07:17,DEPT-CPWD,VEN-018,Consultancy,1603434.18,NEFT,Procurement for Digital India - Phase 3,OFFICER-09,BUD-8309,PROJ-003
