transaction_id,timestamp,department_id,vendor_id,vendor_category,amount,payment_method,description,approver_id,budget_code,project_id
TX-00000,2025-07-27T23:19:00,DEPT-RAIL,VEN-096,Medical Supplies,5047.23,RTGS,Standard procurement for DEPT-RAIL,OFFICER-05,BUD-2055,PROJ-010
TX-00001,2025-07-26T15:04:00,DEPT-EDU-DELHI,VEN-054,Civil Works,158917.45,UPI,Standard procurement for DEPT-EDU-DELHI,OFFICER-07,BUD-4438,PROJ-046
TX-00002,2025-08-06T13:45:00,DEPT-EDU-DELHI,VEN-091,Medical Supplies,9681.9,UPI,Standard procurement for DEPT-EDU-DELHI,OFFICER-02,BUD-6010,PROJ-018
TX-00003,2025-08-02T20:34:00,DEPT-EDU-DELHI,VEN-001,Consultancy,143044.72,RTGS,Standard procurement for DEPT-EDU-DELHI,OFFICER-05,BUD-9997,PROJ-042
TX-00004,2025-08-25T20:30:00,DEPT-NHAI,VEN-054,Medical Supplies,44666.24,NEFT,Standard procurement for DEPT-NHAI,OFFICER-00,BUD-3557,PROJ-035
TX-00005,2025-10-07T22:55:00,DEPT-NHAI,VEN-067,Consultancy,126059.11,NEFT,Standard procurement for DEPT-NHAI,OFFICER-02,BUD-3234,PROJ-006
TX-00006,2025-05-23T02:32:00,DEPT-CPWD,VEN-046,Civil Works,48936.18,RTGS,Standard procurement for DEPT-CPWD,OFFICER-07,BUD-3984,PROJ-022
TX-00007,2025-11-04T20:14:00,DEPT-RAIL,VEN-026,Consultancy,21369.65,NEFT,Standard procurement for DEPT-RAIL,OFFICER-07,BUD-7804,PROJ-035
TX-00008,2025-08-21T01:43:00,DEPT-NHAI,VEN-098,Consultancy,118069.04,RTGS,Standard procurement for DEPT-NHAI,OFFICER-09,BUD-7296,PROJ-010
TX-00009,2025-12-08T22:18:00,DEPT-EDU-DELHI,VEN-083,Civil Works,136279.71,RTGS,Standard procurement for DEPT-EDU-DELHI,OFFICER-02,BUD-4032,PROJ-045
TX-00010,2025-12-17T21:35:00,DEPT-CPWD,VEN-094,Medical Supplies,45698.06,NEFT,Standard procurement for DEPT-CPWD,OFFICER-00,BUD-4615,PROJ-039
TX-00011,2025-02-13T08:53:00,DEPT-RAIL,VEN-092,Medical Supplies,115165.75,NEFT,Standard procurement for DEPT-RAIL,OFFICER-03,BUD-5185,PROJ-007
TX-00012,2025-07-07T15:21:00,DEPT-CPWD,VEN-072,Manpower,72312.04,RTGS,Standard procurement for DEPT-CPWD,OFFICER-03,BUD-3991,PROJ-029
TX-00013,2025-02-28T05:37:00,DEPT-RAIL,VEN-045,Medical Supplies,190051.45,UPI,Standard procurement for DEPT-RAIL,OFFICER-06,BUD-3827,PROJ-013
TX-00014,2025-02-26T00:33:00,DEPT-NHAI,VEN-009,Medical Supplies,119589.64,RTGS,Standard procurement for DEPT-NHAI,OFFICER-06,BUD-3044,PROJ-030
TX-00015,2025-07-27T05:48:00,DEPT-CPWD,VEN-023,Medical Supplies,94086.7,NEFT,Standard procurement for DEPT-CPWD,OFFICER-09,BUD-2337,PROJ-022
TX-00016,2025-09-04T13:47:00,DEPT-EDU-DELHI,VEN-076,Consultancy,105101.02,RTGS,Standard procurement for DEPT-EDU-DELHI,OFFICER-07,BUD-3446,PROJ-042
TX-00017,2025-10-02T19:02:00,DEPT-RAIL,VEN-069,Medical Supplies,2407.75,UPI,Standard procurement for DEPT-RAIL,OFFICER-05,BUD-1462,PROJ-015
TX-00018,2025-12-14T16:01:00,DEPT-CPWD,VEN-039,Medical Supplies,99072.8,NEFT,Standard procurement for DEPT-CPWD,OFFICER-03,BUD-9517,PROJ-042
TX-00019,2025-01-05T05:12:00,DEPT-CPWD,VEN-038,Manpower,186285.8,UPI,Standard procurement for DEPT-CPWD,OFFICER-02,BUD-8227,PROJ-038
TX-00020,2025-06-06T03:54:00,DEPT-NHAI,VEN-071,IT Hardware,111962.6,UPI,Standard procurement for DEPT-NHAI,OFFICER-00,BUD-1558,PROJ-045
TX-00021,2025-07-30T14:24:00,DEPT-HEALTH-AIIMS,VEN-063,Consultancy,85238.82,RTGS,Standard procurement for DEPT-HEALTH-AIIMS,OFFICER-02,BUD-7804,PROJ-022
TX-00022,2025-05-29T15:37:00,DEPT-CPWD,VEN-017,Consultancy,188075.54,NEFT,Standard procurement for DEPT-CPWD,OFFICER-04,BUD-9462,PROJ-047
TX-00023,2025-03-22T15:21:00,DEPT-HEALTH-AIIMS,VEN-077,Medical Supplies,50401.41,NEFT,Standard procurement for DEPT-HEALTH-AIIMS,OFFICER-00,BUD-6930,PROJ-026
TX-00024,2025-07-14T14:20:00,DEPT-HEALTH-AIIMS,VEN-081,Consultancy,43688.06,RTGS,Standard procurement for DEPT-HEALTH-AIIMS,OFFICER-02,BUD-3390,PROJ-002
TX-00025,2025-02-27T09:12:00,DEPT-RAIL,VEN-056,Consultancy,51502.21,RTGS,Standard procurement for DEPT-RAIL,OFFICER-05,BUD-1149,PROJ-037
TX-00026,2025-02-14T01:39:00,DEPT-NHAI,VEN-096,Medical Supplies,93120.48,UPI,Standard procurement for DEPT-NHAI,OFFICER-09,BUD-5600,PROJ-011
TX-00027,2025-08-12T19:32:00,DEPT-HEALTH-AIIMS,VEN-067,Manpower,45522.18,RTGS,Standard procurement for DEPT-HEALTH-AIIMS,OFFICER-03,BUD-2992,PROJ-038
TX-00028,2025-09-24T16:19:00,DEPT-EDU-DELHI,VEN-090,Manpower,103438.1,NEFT,Standard procurement for DEPT-EDU-DELHI,OFFICER-06,BUD-4454,PROJ-027
TX-00029,2025-01-29T07:55:00,DEPT-HEALTH-AIIMS,VEN-065,IT Hardware,28503.74,UPI,Standard procurement for DEPT-HEALTH-AIIMS,OFFICER-04,BUD-1553,PROJ-014
TX-00030,2025-10-19T22:41:00,DEPT-RAIL,VEN-091,Manpower,41889.55,RTGS,Standard procurement for DEPT-RAIL,OFFICER-02,BUD-5275,PROJ-006
TX-00031,2025-04-23T03:28:00,DEPT-HEALTH-AIIMS,VEN-051,Civil Works,136346.83,RTGS,Standard procurement for DEPT-HEALTH-AIIMS,OFFICER-07,BUD-9850,PROJ-038
