transaction_id,timestamp,department_id,vendor_id,vendor_category,amount,payment_method,description,approver_id,budget_code,project_id
LTX-00000,2025-10-03T04:31:00,DEP-FIN,VEN-075,Travel,80613.91,Bank Transfer,Description for LTX-00000,A-02,B-234,PROJ-010
LTX-00001,2025-04-28T10:39:00,DEP-EDU,VEN-090,Supplies,753.03,Bank Transfer,Description for LTX-00001,A-09,B-333,PROJ-027
LTX-00002,2025-10-27T23:34:00,DEP-FIN,VEN-082,Consulting,854.1,Credit Card,Description for LTX-00002,A-08,B-412,PROJ-001
LTX-00003,2025-02-24T14:43:00,DEP-POLICE,VEN-058,Travel,1360.65,Cheque,Description for LTX-00003,A-09,B-852,PROJ-009
LTX-00004,2025-11-25T09:36:00,DEP-PWR,VEN-015,IT,1047.94,Bank Transfer,Description for LTX-00004,A-04,B-594,PROJ-013
LTX-00005,2025-06-04T17:33:00,DEP-POLICE,VEN-024,Infrastructure,673.97,Bank Transfer,Description for LTX-00005,A-08,B-876,PROJ-026
LTX-00006,2025-01-21T17:25:00,DEP-POLICE,VEN-076,Infrastructure,1707.61,Bank Transfer,Description for LTX-00006,A-06,B-189,PROJ-018
LTX-00007,2025-08-14T00:41:00,DEP-POLICE,VEN-086,Infrastructure,1240.2,Credit Card,Description for LTX-00007,A-02,B-959,PROJ-015
LTX-00008,2025-10-15T07:48:00,DEP-HEALTH,VEN-066,IT,226.93,Cheque,Description for LTX-00008,A-03,B-560,PROJ-001
LTX-00009,2025-02-24T11:49:00,DEP-FIN,VEN-094,Consulting,173.49,Bank Transfer,Description for LTX-00009,A-02,B-332,PROJ-006
LTX-00010,2025-01-31T04:28:00,DEP-EDU,VEN-038,Consulting,1522.43,Bank Transfer,Description for LTX-00010,A-06,B-848,PROJ-044
LTX-00011,2025-11-30T19:19:00,DEP-FIN,VEN-055,Travel,1260.13,Bank Transfer,Description for LTX-00011,A-09,B-996,PROJ-023
LTX-00012,2025-06-22T00:41:00,DEP-EDU,VEN-001,Supplies,935.56,Credit Card,Description for LTX-00012,A-04,B-174,PROJ-045
LTX-00013,2025-09-07T00:28:00,DEP-PWR,VEN-022,Consulting,1144.85,Bank Transfer,Description for LTX-00013,A-01,B-761,PROJ-021
LTX-00014,2025-07-30T10:23:00,DEP-FIN,VEN-020,Supplies,1230.45,Credit Card,Description for LTX-00014,A-08,B-253,PROJ-036
LTX-00015,2025-12-29T17:44:00,DEP-FIN,VEN-018,Supplies,869.79,Bank Transfer,Description for LTX-00015,A-01,B-327,PROJ-002
LTX-00016,2025-07-30T09:04:00,DEP-POLICE,VEN-073,Infrastructure,217.0,Credit Card,Description for LTX-00016,A-07,B-126,PROJ-027
LTX-00017,2025-03-01T08:38:00,DEP-HEALTH,VEN-096,IT,1156.59,Credit Card,Description for LTX-00017,A-08,B-453,PROJ-037
LTX-00018,2025-08-19T17:12:00,DEP-HEALTH,VEN-037,IT,1233.06,Cheque,Description for LTX-00018,A-03,B-719,PROJ-021
LTX-00019,2025-05-11T14:41:00,DEP-FIN,VEN-041,Travel,1460.14,Credit Card,Description for LTX-00019,A-04,B-113,PROJ-032
LTX-00020,2025-03-08T22:25:00,DEP-EDU,VEN-089,Supplies,1627.76,Credit Card,Description for LTX-00020,A-09,B-624,PROJ-026
LTX-00021,2025-09-20T09:16:00,DEP-POLICE,VEN-066,Travel,352.17,Credit Card,Description for LTX-00021,A-06,B-599,PROJ-048
LTX-00022,2025-03-09T11:08:00,DEP-HEALTH,VEN-092,Infrastructure,1615.11,Bank Transfer,Description for LTX-00022,A-04,B-427,PROJ-047
LTX-00023,2025-03-11T00:18:00,DEP-EDU,VEN-015,Infrastructure,1636.8,Credit Card,Description for LTX-00023,A-07,B-390,PROJ-044
LTX-00024,2025-10-19T13:26:00,DEP-EDU,VEN-071,Supplies,636.0,Credit Card,Description for LTX-00024,A-08,B-929,PROJ-045
LTX-00025,2025-04-10T01:49:00,DEP-PWR,VEN-042,Consulting,586.24,Credit Card,Description for LTX-00025,A-07,B-430,PROJ-037
LTX-00026,2025-05-18T16:51:00,DEP-HEALTH,VEN-066,IT,920.42,Credit Card,Description for LTX-00026,A-09,B-885,PROJ-009
LTX-00027,2025-04-23T09:43:00,DEP-PWR,VEN-008,Travel,579.95,Credit Card,Description for LTX-00027,A-02,B-144,PROJ-041
LTX-00028,2025-05-02T10:53:00,DEP-HEALTH,VEN-020,Infrastructure,676.57,Credit Card,Description for LTX-00028,A-09,B-633,PROJ-020
