transaction_id,timestamp,department_id,vendor_id,vendor_category,amount,payment_method,description,approver_id,budget_code,vendor_id_original
LTX-00000,2025-05-13T01:24:00,DEP-FIN,VEN-019,Consulting,60123.0,Credit Card,Description for LTX-00000,A-02,B-254,VEN-064
LTX-00001,2025-04-19T16:07:00,DEP-FIN,VEN-019,IT,279.01,Cheque,Description for LTX-00001,A-06,B-139,VEN-085
LTX-00002,2025-10-18T17:08:00,DEP-EDU,VEN-019,Supplies,535.64,Credit Card,Description for LTX-00002,A-06,B-134,VEN-056
LTX-00003,2025-09-07T05:02:00,DEP-EDU,VEN-019,Consulting,960.6,Bank Transfer,Description for LTX-00003,A-04,B-797,
LTX-00004,2025-06-22T19:36:00,DEP-POLICE,VEN-019,IT,888.07,Cheque,Description for LTX-00004,A-05,B-760,VEN-061
LTX-00005,2025-09-15T22:06:00,DEP-FIN,VEN-019,Travel,1625.27,Cheque,Description for LTX-00005,A-01,B-359,VEN-080
LTX-00006,2025-12-25T20:53:00,DEP-FIN,VEN-019,Travel,1227.68,Bank Transfer,Description for LTX-00006,A-02,B-903,VEN-040
LTX-00007,2025-05-29T08:38:00,DEP-EDU,VEN-019,Consulting,585.04,Credit Card,Description for LTX-00007,A-07,B-896,VEN-005
LTX-00008,2025-01-27T08:34:00,DEP-EDU,VEN-019,Supplies,1562.88,Bank Transfer,Description for LTX-00008,A-00,B-663,VEN-001
LTX-00009,2025-12-26T05:13:00,DEP-FIN,VEN-019,Travel,1747.86,Credit Card,Description for LTX-00009,A-02,B-518,VEN-069
LTX-00010,2025-04-13T05:27:00,DEP-HEALTH,VEN-019,Infrastructure,605.16,Credit Card,Description for LTX-00010,A-04,B-971,VEN-006
LTX-00011,2025-01-06T13:25:00,DEP-FIN,VEN-019,Consulting,477.87,Credit Card,Description for LTX-00011,A-00,B-542,VEN-018
LTX-00012,2025-02-13T06:37:00,DEP-EDU,VEN-019,Infrastructure,803.36,Bank Transfer,Description for LTX-00012,A-09,B-882,VEN-058
LTX-00013,2025-05-05T22:17:00,DEP-EDU,VEN-019,Consulting,175.89,Bank Transfer,Description for LTX-00013,A-07,B-779,VEN-033
LTX-00014,2025-02-01T15:22:00,DEP-POLICE,VEN-019,Supplies,1743.1,Cheque,Description for LTX-00014,A-00,B-478,VEN-046
LTX-00015,2025-03-23T07:24:00,DEP-PWR,VEN-019,Supplies,1941.41,Bank Transfer,Description for LTX-00015,A-09,B-592,VEN-043
