DEBUG: Project PROJ-010 | Count: 11 | Sum: 2554093.2900000005 | Threshold: 2000000
DEBUG: Project PROJ-010 | Count: 10 | Sum: 2283763.29 | Threshold: 2000000
DEBUG: Project PROJ-010 | Count: 9 | Sum: 1967669.3199999996 | Threshold: 2000000
DEBUG: Project PROJ-010 | Count: 8 | Sum: 1497062.4 | Threshold: 2000000
DEBUG: Project PROJ-010 | Count: 7 | Sum: 1348846.9799999997 | Threshold: 2000000
DEBUG: Project PROJ-010 | Count: 6 | Sum: 1308150.92 | Threshold: 2000000
DEBUG: Project PROJ-010 | Count: 5 | Sum: 823433.0 | Threshold: 2000000
DEBUG: Project PROJ-010 | Count: 4 | Sum: 372351.54000000004 | Threshold: 2000000
DEBUG: Project PROJ-014 | Count: 5 | Sum: 2244314.93 | Threshold: 2000000
DEBUG: Project PROJ-014 | Count: 4 | Sum: 1923086.1600000001 | Threshold: 2000000
DEBUG: Project PROJ-026 | Count: 9 | Sum: 1229047.47 | Threshold: 2000000
DEBUG: Project PROJ-026 | Count: 8 | Sum: 922031.06 | Threshold: 2000000
DEBUG: Project PROJ-026 | Count: 7 | Sum: 787341.68 | Threshold: 2000000
DEBUG: Project PROJ-026 | Count: 6 | Sum: 570500.4199999999 | Threshold: 2000000
DEBUG: Project PROJ-026 | Count: 5 | Sum: 522444.31 | Threshold: 2000000
DEBUG: Project PROJ-026 | Count: 4 | Sum: 505169.42 | Threshold: 2000000
DEBUG: Project PROJ-027 | Count: 14 | Sum: 17824816.97 | Threshold: 2000000
DEBUG: Project PROJ-027 | Count: 13 | Sum: 17474671.97 | Threshold: 2000000
DEBUG: Project PROJ-027 | Count: 12 | Sum: 17336101.81 | Threshold: 2000000
DEBUG: Project PROJ-027 | Count: 11 | Sum: 14955472.75 | Threshold: 2000000
DEBUG: Project PROJ-027 | Count: 10 | Sum: 10412512.29 | Threshold: 2000000
DEBUG: Project PROJ-027 | Count: 9 | Sum: 10249932.97 | Threshold: 2000000
DEBUG: Project PROJ-027 | Count: 8 | Sum: 10009958.79 | Threshold: 2000000
DEBUG: Project PROJ-027 | Count: 7 | Sum: 6987458.109999999 | Threshold: 2000000
DEBUG: Project PROJ-027 | Count: 6 | Sum: 3670165.33 | Threshold: 2000000
DEBUG: Project PROJ-027 | Count: 5 | Sum: 2720379.77 | Threshold: 2000000
DEBUG: Project PROJ-027 | Count: 4 | Sum: 2031733.51 | Threshold: 2000000
DEBUG: Project PROJ-040 | Count: 14 | Sum: 9785695.23 | Threshold: 2000000
DEBUG: Project PROJ-040 | Count: 13 | Sum: 7638839.880000001 | Threshold: 2000000
DEBUG: Project PROJ-040 | Count: 12 | Sum: 7296585.59 | Threshold: 2000000
DEBUG: Project PROJ-040 | Count: 11 | Sum: 5509530.85 | Threshold: 2000000
DEBUG: Project PROJ-040 | Count: 10 | Sum: 5446826.65 | Threshold: 2000000
DEBUG: Project PROJ-040 | Count: 9 | Sum: 5350874.43 | Threshold: 2000000
DEBUG: Project PROJ-040 | Count: 8 | Sum: 2027296.8399999999 | Threshold: 2000000
DEBUG: Project PROJ-040 | Count: 7 | Sum: 1516132.7999999998 | Threshold: 2000000
DEBUG: Project PROJ-040 | Count: 6 | Sum: 1091344.1 | Threshold: 2000000
DEBUG: Project PROJ-040 | Count: 5 | Sum: 1048049.4400000001 | Threshold: 2000000
DEBUG: Project PROJ-040 | Count: 4 | Sum: 919419.3600000001 | Threshold: 2000000
DEBUG: Project PROJ-044 | Count: 6 | Sum: 1353615.76 | Threshold: 2000000
DEBUG: Project PROJ-044 | Count: 5 | Sum: 965302.2799999999 | Threshold: 2000000
DEBUG: Project PROJ-044 | Count: 4 | Sum: 492005.39 | Threshold: 2000000
DEBUG: Project PROJ-046 | Count: 8 | Sum: 3063867.409999999 | Threshold: 2000000
DEBUG: Project PROJ-046 | Count: 7 | Sum: 2170173.34 | Threshold: 2000000
DEBUG: Project PROJ-046 | Count: 6 | Sum: 1887948.3599999999 | Threshold: 2000000
DEBUG: Project PROJ-046 | Count: 5 | Sum: 1841352.17 | Threshold: 2000000
DEBUG: Project PROJ-046 | Count: 4 | Sum: 1391463.19 | Threshold: 2000000
DEBUG: Project PROJ-055 | Count: 7 | Sum: 14516032.860000001 | Threshold: 2000000
DEBUG: Project PROJ-055 | Count: 6 | Sum: 14346531.850000001 | Threshold: 2000000
DEBUG: Project PROJ-055 | Count: 5 | Sum: 9541886.540000001 | Threshold: 2000000
DEBUG: Project PROJ-055 | Count: 4 | Sum: 4779015.1 | Threshold: 2000000
DEBUG: Project PROJ-059 | Count: 6 | Sum: 5004039.54 | Threshold: 2000000
DEBUG: Project PROJ-059 | Count: 5 | Sum: 4659877.64 | Threshold: 2000000
DEBUG: Project PROJ-059 | Count: 4 | Sum: 4577378.16 | Threshold: 2000000
DEBUG: Project PROJ-060 | Count: 6 | Sum: 8396937.36 | Threshold: 2000000
