transaction_id,timestamp,department_id,vendor_id,vendor_category,project_id,amount,payment_method,approver_id,budget_code
a124e8fc-a27b-43c0-8a1a-fe1ce9a468cb,2025-01-01 08:22:00,Urban Development Board,VEND-8363,Construction,PROJ-2024-016,3018085.32,Corporate Card,APPR-005,BC-2024-CON-00
79430ce6-9afc-4225-8e53-423466b07e78,2025-01-01 09:27:00,Transport Authority,VEND-2693,Office Supplies,PROJ-2024-003,3598.52,Corporate Card,APPR-005,BC-2024-CON-00
06e46abc-978f-4aff-9da6-d9c17404a562,2025-01-01 09:34:00,Dept of Education,VEND-7408,Logistics,PROJ-2024-010,10292.95,Electronic Transfer,APPR-002,BC-2024-SOF-05
bd8a9758-fc26-4fce-b4a4-a770ebf2c475,2025-01-01 10:53:00,Dept of Education,VEND-9513,Medical Supplies,PROJ-2024-019,77699.98,Check,APPR-006,BC-2024-IT -04
20a551ef-430e-44fc-a22d-c166776980f1,2025-01-01 11:17:00,Dept of Education,VEND-8254,Software Licenses,PROJ-2024-005,11551.36,Electronic Transfer,APPR-010,BC-2024-IT -04
ff4289ad-b601-4bdd-887f-11643a64520e,2025-01-01 11:18:00,Transport Authority,VEND-3207,Construction,PROJ-2024-019,3921827.8,Electronic Transfer,APPR-004,BC-2024-IT -04
bd5676df-f6e4-43fa-8f80-65522145d083,2025-01-01 12:04:00,Urban Development Board,VEND-1714,Medical Supplies,PROJ-2024-016,67651.25,Check,APPR-005,BC-2024-OFF-06
0eecd359-02d7-4c86-803a-7bc915ad5d2f,2025-01-01 12:12:00,Dept of Education,VEND-4886,Office Supplies,PROJ-2024-013,6000.0,Corporate Card,APPR-009,BC-2024-OFF-06
63396126-73bf-4a25-bf8e-104220aa29ff,2025-01-01 12:14:00,Urban Development Board,VEND-3207,Construction,PROJ-2024-018,1694738.6,Electronic Transfer,APPR-007,BC-2024-LOG-03
c60c9401-a632-404e-bd02-1ca66f320f83,2025-01-01 14:05:00,Transport Authority,VEND-7408,Logistics,PROJ-2024-019,8970.09,Corporate Card,APPR-008,BC-2024-LOG-03
7c7400b9-6373-47f5-932d-e7975f2bd7b1,2025-01-01 14:13:00,Dept of Education,VEND-3471,Consulting,PROJ-2024-003,186403.58,Check,APPR-004,BC-2024-CON-02
f1947477-cbc4-4f97-a0ce-64495d9c8408,2025-01-01 14:17:00,Dept of Public Works,VEND-2545,Software Licenses,PROJ-2024-006,50141.72,Electronic Transfer,APPR-002,BC-2024-SOF-05
6400c565-9bf6-45c5-aeef-ddcc5921e3b5,2025-01-01 15:10:00,Dept of Education,VEND-4211,Medical Supplies,PROJ-2024-013,101595.78,Corporate Card,APPR-007,BC-2024-CON-02
94967d88-06f8-4c91-a648-63a64c09209f,2025-01-01 15:15:00,Urban Development Board,VEND-7408,Logistics,PROJ-2024-008,7817.08,Corporate Card,APPR-003,BC-2024-CON-00
3d8d58fb-fcea-4b7d-b95f-f9eda42f12d0,2025-01-01 15:42:00,Transport Authority,VEND-1714,Medical Supplies,PROJ-2024-007,50696.12,Corporate Card,APPR-007,BC-2024-MED-01
f1093dda-91d0-4e69-90f2-cddf4052fc5e,2025-01-01 15:51:00,Dept of Public Works,VEND-3471,Consulting,PROJ-2024-019,277562.95,Electronic Transfer,APPR-008,BC-2024-OFF-06
dbb91f36-d65f-4aab-880f-b0514488495b,2025-01-01 16:13:00,Urban Development Board,VEND-6917,Medical Supplies,PROJ-2024-012,74785.27,Corporate Card,APPR-002,BC-2024-OFF-06
cb858b66-a1b4-496c-bea4-1a84d13a66bc,2025-01-01 16:54:00,Dept of Public Works,VEND-4886,Office Supplies,PROJ-2024-018,1815.1,Corporate Card,APPR-004,BC-2024-MED-01
46417b79-2ec4-4e78-bc66-805d46cd5327,2025-01-01 17:04:00,Dept of Public Works,VEND-4211,Medical Supplies,PROJ-2024-004,50076.92,Check,APPR-005,BC-2024-IT -04
3c073776-bc22-4c36-b448-185b7e60fcc1,2025-01-01 17:30:00,Ministry of Health,VEND-8363,Construction,PROJ-2024-008,2108134.52,Corporate Card,APPR-001,BC-2024-IT -04
95b6eae0-a340-44b8-b7aa-b565d198de80,2025-01-01 17:50:00,Urban Development Board,VEND-6458,IT Hardware,PROJ-2024-020,25985.47,Corporate Card,APPR-002,BC-2024-OFF-06
36518042-8ef7-42fa-a5ad-50d545653cd9,2025-01-01 18:40:00,IT Services Division,VEND-2033,Consulting,PROJ-2024-018,94679.67,Corporate Card,APPR-008,BC-2024-MED-01
8518a3e2-c0e6-4f32-a892-0223265b7561,2025-01-01 18:55:00,Ministry of Health,VEND-9304,Office Supplies,PROJ-2024-004,4317.36,Electronic Transfer,APPR-001,BC-2024-OFF-06
98b9f241-3497-4fe1-b239-5d2fbc755e54,2025-01-02 08:18:00,Transport Authority,VEND-2335,Software Licenses,PROJ-2024-003,50539.36,Corporate Card,APPR-002,BC-2024-CON-00
0d5cea52-86b6-41a6-84e8-18880288cbd1,2025-01-02 09:01:00,Ministry of Health,VEND-2802,Medical Supplies,PROJ-2024-013,50480.71,Electronic Transfer,APPR-006,BC-2024-LOG-03
96316628-c7c1-4087-bfd0-a4eddf71bf76,2025-01-02 09:45:00,Dept of Education,VEND-6693,Medical Supplies,PROJ-2024-011,79593.61,Corporate Card,APPR-006,BC-2024-LOG-03
a33e784c-b38f-4e22-a481-b58e3110a119,2025-01-02 10:18:00,Dept of Education,VEND-8588,Logistics,PROJ-2024-017,8205.78,Check,APPR-002,BC-2024-MED-01
a7b5b19a-2d73-432e-9839-96e08b5420bf,2025-01-02 10:31:00,IT Services Division,VEND-1714,Medical Supplies,PROJ-2024-017,37107.53,Corporate Card,APPR-009,BC-2024-OFF-06
f6161978-43a4-41c8-961a-b1a0321378da,2025-01-02 11:00:00,Ministry of Health,VEND-1714,Medical Supplies,PROJ-2024-011,67538.52,Electronic Transfer,APPR-003,BC-2024-IT -04
7a2edc25-bd45-4429-bc74-57fa791be969,2025-01-02 11:20:00,Dept of Education,VEND-4886,Office Supplies,PROJ-2024-012,1056.24,Check,APPR-010,BC-2024-LOG-03
6ee1af81-7924-4e89-9084-ce0f70863fdf,2025-01-02 11:48:00,Ministry of Health,VEND-6917,Medical Supplies,PROJ-2024-002,83355.26,Check,APPR-002,BC-2024-LOG-03
d472f14b-e984-4aff-8845-d9b6b373f7b6,2025-01-02 12:01:00,Transport Authority,VEND-2335,Software Licenses,PROJ-2024-007,37219.58,Corporate Card,APPR-006,BC-2024-SOF-05
70a4e887-d9b5-4d3c-a533-90085e5b9fe9,2025-01-02 12:35:00,Urban Development Board,VEND-8040,IT Hardware,PROJ-2024-019,39555.35,Electronic Transfer,APPR-006,BC-2024-OFF-06
fad581e6-1b2f-4bd3-80d1-681696969271,2025-01-02 13:02:00,Ministry of Health,VEND-2802,Medical Supplies,PROJ-2024-016,105226.48,Check,APPR-010,BC-2024-IT -04
d517dbe9-ed89-42a4-938f-d27766bc1632,2025-01-02 13:09:00,Transport Authority,VEND-2033,Consulting,PROJ-2024-015,107168.23,Electronic Transfer,APPR-010,BC-2024-CON-00
7a1d9410-d54d-4e97-9a1d-fa9ad9828937,2025-01-02 13:10:00,Ministry of Health,VEND-1322,Software Licenses,PROJ-2024-014,36056.36,Corporate Card,APPR-001,BC-2024-CON-00
f6fc12e9-533d-42ce-90ac-d53dd3f2115e,2025-01-02 13:21:00,Dept of Education,VEND-6917,Medical Supplies,PROJ-2024-010,137778.82,Electronic Transfer,APPR-006,BC-2024-SOF-05
c1f699ed-e96c-491f-a94c-14edf33ad797,2025-01-02 13:38:00,Dept of Public Works,VEND-8750,Medical Supplies,PROJ-2024-009,72956.26,Check,APPR-010,BC-2024-OFF-06
a68e9d13-d318-4dc5-9d22-54b630789603,2025-01-02 14:29:00,Dept of Public Works,VEND-8588,Logistics,PROJ-2024-006,10710.36,Electronic Transfer,APPR-008,BC-2024-SOF-05
373eccc7-158b-4db2-a0e1-688c8a54c630,2025-01-02 14:49:00,Dept of Education,VEND-6693,Medical Supplies,PROJ-2024-008,55269.18,Corporate Card,APPR-008,BC-2024-OFF-06
7074a076-5df1-4093-90ef-bf4f5dcdfbe7,2025-01-02 14:56:00,Transport Authority,VEND-1322,Software Licenses,PROJ-2024-005,22984.5,Electronic Transfer,APPR-002,BC-2024-IT -04
f5f4089f-6a19-496e-9a71-827e05506e82,2025-01-02 15:05:00,Transport Authority,VEND-4886,Office Supplies,PROJ-2024-020,4810.91,Electronic Transfer,APPR-001,BC-2024-IT -04
c969819b-a8ef-49f8-94e4-39dc10931afb,2025-01-02 16:01:00,Ministry of Health,VEND-8040,IT Hardware,PROJ-2024-008,62680.08,Electronic Transfer,APPR-010,BC-2024-IT -04
058f8bb6-3c8f-42ed-aaf4-20fb5afc3786,2025-01-02 16:34:00,Transport Authority,VEND-3053,Logistics,PROJ-2024-014,11682.75,Check,APPR-003,BC-2024-LOG-03
20dacac7-7f5a-4fbb-ba40-46c46fb4235d,2025-01-02 17:45:00,Transport Authority,VEND-3207,Construction,PROJ-2024-017,1294319.76,Corporate Card,APPR-009,BC-2024-IT -04
529d175d-48cf-4c9c-9bb1-c12d20a7c24a,2025-01-02 18:08:00,IT Services Division,VEND-3471,Consulting,PROJ-2024-009,126671.23,Electronic Transfer,APPR-004,BC-2024-IT -04
f06658fb-27f3-4059-826f-ee1c22b1354a,2025-01-02 18:31:00,Dept of Education,VEND-2693,Office Supplies,PROJ-2024-002,1299.62,Check,APPR-010,BC-2024-IT -04
cefcd844-bae0-41b2-9ce1-72257335c884,2025-01-02 18:32:00,Urban Development Board,VEND-3800,Software Licenses,PROJ-2024-012,21439.87,Electronic Transfer,APPR-009,BC-2024-MED-01
833febfc-60fb-4fb7-9343-9da6bdb0ea8b,2025-01-02 18:38:00,Urban Development Board,VEND-1322,Software Licenses,PROJ-2024-006,17972.9,Electronic Transfer,APPR-006,BC-2024-SOF-05
56db262b-beb9-4454-9370-ca2893de0df2,2025-01-02 18:46:00,Dept of Public Works,VEND-6750,Logistics,PROJ-2024-011,4247.48,Electronic Transfer,APPR-001,BC-2024-SOF-05
59e20ae3-09b0-4778-92fb-f3bbe3aacb92,2025-01-03 08:07:00,Dept of Education,VEND-9304,Office Supplies,PROJ-2024-002,1781.48,Check,APPR-002,BC-2024-OFF-06
a4804d93-d740-499a-8146-0f33e847e981,2025-01-03 08:08:00,Urban Development Board,VEND-9040,Medical Supplies,PROJ-2024-010,69472.48,Check,APPR-010,BC-2024-CON-02
619de137-a9e1-4a62-a218-73179b1f2e86,2025-01-03 08:57:00,Dept of Public Works,VEND-4247,Logistics,PROJ-2024-007,15263.68,Electronic Transfer,APPR-002,BC-2024-SOF-05
cc89d83c-2b5f-496d-94c0-23fdad822346,2025-01-03 09:01:00,IT Services Division,VEND-8040,IT Hardware,PROJ-2024-011,120000.0,Electronic Transfer,APPR-007,BC-2024-CON-02
c64220ec-4110-4dd2-b0a7-381980ec34ec,2025-01-03 09:49:00,Urban Development Board,VEND-2802,Medical Supplies,PROJ-2024-020,76444.73,Check,APPR-001,BC-2024-IT -04
d608abe4-63e0-41d5-8128-1297e4dde058,2025-01-03 10:04:00,Urban Development Board,VEND-8254,Software Licenses,PROJ-2024-010,25088.4,Check,APPR-009,BC-2024-CON-02
5d1dcd31-50d5-4ab9-ac9d-c9a092d4d152,2025-01-03 10:06:00,Dept of Public Works,VEND-6458,IT Hardware,PROJ-2024-018,27255.91,Corporate Card,APPR-002,BC-2024-CON-02
fa8c10b8-57a5-4472-9620-c5118e0a76ca,2025-01-03 10:27:00,Dept of Public Works,VEND-1322,Software Licenses,PROJ-2024-007,34090.92,Corporate Card,APPR-008,BC-2024-OFF-06
75504cbf-1c29-4dda-a45f-7a667613d787,2025-01-03 10:34:00,Urban Development Board,VEND-2802,Medical Supplies,PROJ-2024-010,131946.12,Corporate Card,APPR-001,BC-2024-SOF-05
b3f1d29b-f8e0-4ac0-8933-5e8789d1bc3d,2025-01-03 11:17:00,Ministry of Health,VEND-4339,Office Supplies,PROJ-2024-018,1342.87,Electronic Transfer,APPR-009,BC-2024-IT -04
d9d73b44-1cba-4179-a5fd-7cf1a4cf5a1d,2025-01-03 11:36:00,Urban Development Board,VEND-4339,Office Supplies,PROJ-2024-015,2635.21,Electronic Transfer,APPR-003,BC-2024-OFF-06
595afd52-5593-4aa0-bc0b-5abf112ee067,2025-01-03 11:45:00,Dept of Education,VEND-5901,Medical Supplies,PROJ-2024-004,51301.36,Corporate Card,APPR-004,BC-2024-LOG-03
10310ed8-9e55-4e9d-87da-d542f132aba7,2025-01-03 12:20:00,Urban Development Board,VEND-9513,Medical Supplies,PROJ-2024-008,76034.85,Check,APPR-010,BC-2024-CON-00
606f4a86-b88d-4cf3-a93e-1760071d4ed9,2025-01-03 12:34:00,Urban Development Board,VEND-9040,Medical Supplies,PROJ-2024-020,71082.51,Check,APPR-001,BC-2024-IT -04
62167d08-f418-4d26-aaae-f0c9eaf2827f,2025-01-03 13:24:00,Ministry of Health,VEND-4211,Medical Supplies,PROJ-2024-011,37824.28,Electronic Transfer,APPR-003,BC-2024-IT -04
