transaction_id,timestamp,department_id,vendor_id,vendor_category,project_id,amount,payment_method,approver_id,budget_code
289304b3-91b8-4c73-8da0-48af36d66e16,2025-01-01 08:06:00,Dept of Public Works,VEND-2572,IT Hardware,PROJ-2024-015,62447.56,Electronic Transfer,APPR-005,BC-2024-CON-02
dae5c19e-b748-46e2-b97e-0f7e6b9030da,2025-01-01 08:07:00,Ministry of Health,VEND-9778,Office Supplies,PROJ-2024-019,1553.93,Corporate Card,APPR-006,BC-2024-SOF-05
30fba196-3199-4e0a-8d08-bf1553f9da51,2025-01-01 08:46:00,IT Services Division,VEND-3375,Medical Supplies,PROJ-2024-019,82808.92,Check,APPR-001,BC-2024-SOF-05
b146774f-5be2-4b85-803d-77a3f4eff4fb,2025-01-01 09:23:00,Ministry of Health,VEND-4653,Construction,PROJ-2024-012,4640989.08,Electronic Transfer,APPR-001,BC-2024-SOF-05
12ee5e30-ed0e-41d8-912e-df72400c482c,2025-01-01 09:23:00,Dept of Public Works,VEND-4187,Software Licenses,PROJ-2024-010,28951.25,Check,APPR-002,BC-2024-LOG-03
ccbfe3f3-36ac-4016-a6cb-669d6e674eb3,2025-01-01 09:28:00,Transport Authority,VEND-2795,Software Licenses,PROJ-2024-010,18075.21,Check,APPR-009,BC-2024-CON-00
44949d12-d6c6-4ddf-a925-9fd85c9e0803,2025-01-01 11:17:00,IT Services Division,VEND-9040,Medical Supplies,PROJ-2024-012,51282.71,Electronic Transfer,APPR-002,BC-2024-CON-02
6704c566-1a21-4d49-931a-affc48aab1d5,2025-01-01 12:10:00,Dept of Education,VEND-3800,Software Licenses,PROJ-2024-005,18036.37,Check,APPR-001,BC-2024-OFF-06
e3ce36a6-6d49-4817-8674-9b45512ad027,2025-01-01 13:44:00,Transport Authority,VEND-2545,Software Licenses,PROJ-2024-012,20252.42,Check,APPR-004,BC-2024-OFF-06
d5485740-822c-4cf1-97e3-d990ee1de5fa,2025-01-01 14:24:00,Ministry of Health,VEND-3281,Office Supplies,PROJ-2024-016,2891.72,Corporate Card,APPR-009,BC-2024-OFF-06
e5c6502b-b0bc-4bfb-a708-72c0611d4ec8,2025-01-01 14:36:00,Dept of Education,VEND-4425,Medical Supplies,PROJ-2024-007,34274.15,Corporate Card,APPR-003,BC-2024-IT -04
be3e35a2-d19f-4718-9d2a-19165505efc4,2025-01-01 14:42:00,Urban Development Board,VEND-7316,Construction,PROJ-2024-016,2428847.74,Electronic Transfer,APPR-006,BC-2024-SOF-05
f69e338f-5add-4a98-87fe-65e9effb288c,2025-01-01 16:24:00,Dept of Public Works,VEND-8750,Medical Supplies,PROJ-2024-019,138818.85,Corporate Card,APPR-002,BC-2024-CON-00
