transaction_id,timestamp,department_id,vendor_id,vendor_category,amount,payment_method,description,approver_id,budget_code,project_id
NTX-00000,2025-06-05T11:41:44,DEPT-RAIL,VEN-010,Civil Works,68525.21,UPI,Procurement for Ayushman Bharat - Batch 74,OFFICER-06,BUD-7077,PROJ-007
NTX-00001,2025-06-05T14:09:03,DEPT-HEALTH-AIIMS,VEN-002,Medical Supplies,411447.44,UPI,Emergency allocation for DEPT-HEALTH-AIIMS operations,OFFICER-06,BUD-4424,PROJ-002
NTX-00002,2025-08-14T14:47:10,DEPT-RAIL,VEN-058,Manpower,311431.26,NEFT,Consultancy charges for Phase 2 of Digital India,OFFICER-02,BUD-3015,PROJ-001
NTX-00003,2025-06-21T17:40:09,DEPT-RAIL,VEN-032,Manpower,178146.66,RTGS,Emergency allocation for DEPT-RAIL operations,OFFICER-02,BUD-5223,PROJ-013
NTX-00004,2025-06-27T12:40:00,DEPT-HEALTH-AIIMS,VEN-056,Consultancy,253802.35,RTGS,Procurement for Ayushman Bharat - Batch 27,OFFICER-08,BUD-9798,PROJ-016
NTX-00005,2025-03-04T12:51:26,DEPT-NHAI,VEN-044,IT Hardware,10384.01,NEFT,Maintenance support for DEPT-NHAI,OFFICER-05,BUD-1245,PROJ-019
NTX-00006,2025-09-18T12:38:15,DEPT-EDU-DELHI,VEN-072,Medical Supplies,385851.58,RTGS,Consultancy charges for Phase 1 of Ayushman Bharat,OFFICER-06,BUD-6857,PROJ-011
NTX-00007,2025-01-10T09:41:27,DEPT-RAIL,VEN-075,Manpower,308017.79,RTGS,Procurement for Digital India - Batch 41,OFFICER-00,BUD-8336,PROJ-001
NTX-00008,2025-05-14T15:17:46,DEPT-CPWD,VEN-046,IT Hardware,142600.65,UPI,Maintenance support for DEPT-CPWD,OFFICER-05,BUD-3881,PROJ-017
NTX-00009,2025-01-27T10:59:48,DEPT-RAIL,VEN-066,Medical Supplies,62513.04,UPI,Quarterly supply refill for Swachh Bharat,OFFICER-09,BUD-5886,PROJ-011
NTX-00010,2025-09-03T12:24:00,DEPT-CPWD,VEN-043,IT Hardware,61150.29,RTGS,Quarterly supply refill for Digital India,OFFICER-04,BUD-4181,PROJ-019
NTX-00011,2025-04-03T13:20:02,DEPT-NHAI,VEN-092,Manpower,70064.21,NEFT,Consultancy charges for Phase 3 of Swachh Bharat,OFFICER-04,BUD-5996,PROJ-016
NTX-00012,2025-09-08T10:49:37,DEPT-NHAI,VEN-062,Manpower,164452.3,NEFT,Emergency allocation for DEPT-NHAI operations,OFFICER-06,BUD-9351,PROJ-005
NTX-00013,2025-08-21T14:21:31,DEPT-CPWD,VEN-084,Medical Supplies,303094.12,UPI,Procurement for Swachh Bharat - Batch 12,OFFICER-08,BUD-1504,PROJ-009
NTX-00014,2025-04-08T11:54:11,DEPT-EDU-DELHI,VEN-092,Civil Works,35437.59,NEFT,Consultancy charges for Phase 1 of Digital India,OFFICER-01,BUD-5581,PROJ-015
NTX-00015,2025-05-27T14:55:12,DEPT-RAIL,VEN-088,IT Hardware,421227.29,RTGS,Maintenance support for DEPT-RAIL,OFFICER-09,BUD-8155,PROJ-005
NTX-00016,2025-05-24T15:21:21,DEPT-RAIL,VEN-075,Consultancy,375842.3,NEFT,Consultancy charges for Phase 1 of Swachh Bharat,OFFICER-07,BUD-3673,PROJ-015
NTX-00017,2025-07-15T16:50:42,DEPT-HEALTH-AIIMS,VEN-042,Medical Supplies,230306.88,RTGS,Quarterly supply refill for Ayushman Bharat,OFFICER-09,BUD-2667,PROJ-006
NTX-00018,2025-08-27T13:53:02,DEPT-EDU-DELHI,VEN-026,Civil Works,25050.91,UPI,Consultancy charges for Phase 1 of Smart City Mission,OFFICER-03,BUD-3607,PROJ-020
NTX-00019,2025-11-27T10:43:10,DEPT-CPWD,VEN-067,Manpower,420956.97,RTGS,Consultancy charges for Phase 3 of Smart City Mission,OFFICER-07,BUD-7202,PROJ-008
NTX-00020,2025-04-19T15:02:33,DEPT-HEALTH-AIIMS,VEN-078,Civil Works,213476.97,RTGS,Consultancy charges for Phase 3 of Swachh Bharat,OFFICER-08,BUD-2485,PROJ-017
NTX-00021,2025-02-21T12:35:44,DEPT-CPWD,VEN-005,Medical Supplies,296991.92,RTGS,Maintenance support for DEPT-CPWD,OFFICER-01,BUD-9040,PROJ-014
NTX-00022,2025-09-14T09:36:11,DEPT-CPWD,VEN-037,Medical Supplies,46043.31,NEFT,Procurement for PMGSY - Batch 31,OFFICER-06,BUD-1643,PROJ-007
NTX-00023,2025-12-01T13:22:24,DEPT-RAIL,VEN-038,Medical Supplies,50531.4,RTGS,Procurement for Smart City Mission - Batch 61,OFFICER-07,BUD-8811,PROJ-010
NTX-00024,2025-11-13T12:17:58,DEPT-NHAI,VEN-076,Consultancy,66876.1,NEFT,Procurement for Digital India - Batch 31,OFFICER-06,BUD-5218,PROJ-018
NTX-00025,2025-02-11T09:32:44,DEPT-HEALTH-AIIMS,VEN-035,Manpower,1509.13,NEFT,Consultancy charges for Phase 2 of Smart City Mission,OFFICER-02,BUD-8267,PROJ-013
NTX-00026,2025-06-12T11:30:28,DEPT-HEALTH-AIIMS,VEN-073,IT Hardware,109312.63,RTGS,Quarterly supply refill for Swachh Bharat,OFFICER-02,BUD-2212,PROJ-007
NTX-00027,2025-12-18T13:17:10,DEPT-EDU-DELHI,VEN-067,Medical Supplies,385750.33,RTGS,Maintenance support for DEPT-EDU-DELHI,OFFICER-08,BUD-8246,PROJ-016
NTX-00028,2025-04-18T10:09:27,DEPT-CPWD,VEN-096,Manpower,387290.98,NEFT,Emergency allocation for DEPT-CPWD operations,OFFICER-01,BUD-4411,PROJ-019
NTX-00029,2025-10-30T15:11:33,DEPT-CPWD,VEN-096,IT Hardware,413588.13,RTGS,Emergency allocation for DEPT-CPWD operations,OFFICER-06,BUD-5472,PROJ-016
NTX-00030,2025-08-26T12:01:27,DEPT-NHAI,VEN-044,Medical Supplies,336179.08,RTGS,Consultancy charges for Phase 1 of Digital India,OFFICER-07,BUD-9227,PROJ-004
NTX-00031,2025-08-29T15:54:11,DEPT-RAIL,VEN-013,Medical Supplies,120362.97,UPI,Consultancy charges for Phase 2 of Swachh Bharat,OFFICER-06,BUD-1110,PROJ-019
NTX-00032,2025-02-05T15:19:35,DEPT-EDU-DELHI,VEN-080,IT Hardware,91894.19,NEFT,Procurement for Digital India - Batch 58,OFFICER-09,BUD-1173,PROJ-013
NTX-00033,2025-12-08T10:39:29,DEPT-EDU-DELHI,VEN-055,Civil Works,82005.16,UPI,Quarterly supply refill for PMGSY,OFFICER-07,BUD-1517,PROJ-007
NTX-00034,2025-02-20T09:50:22,DEPT-RAIL,VEN-034,Medical Supplies,177971.88,UPI,Maintenance support for DEPT-RAIL,OFFICER-04,BUD-1950,PROJ-012
NTX-00035,2025-10-18T15:48:11,DEPT-EDU-DELHI,VEN-092,Medical Supplies,306109.73,RTGS,Procurement for Smart City Mission - Batch 47,OFFICER-08,BUD-3706,PROJ-012
NTX-00036,2025-12-22T10:10:34,DEPT-NHAI,VEN-085,Civil Works,195083.95,NEFT,Procurement for PMGSY - Batch 44,OFFICER-05,BUD-6813,PROJ-015
NTX-00037,2025-11-28T09:51:38,DEPT-HEALTH-AIIMS,VEN-078,Civil Works,148610.32,RTGS,Procurement for Digital India - Batch 89,OFFICER-07,BUD-3071,PROJ-008
NTX-00038,2025-10-18T16:16:34,DEPT-CPWD,VEN-003,IT Hardware,282457.8,UPI,Consultancy charges for Phase 2 of Smart City Mission,OFFICER-05,BUD-4493,PROJ-019
